Quarter,Total excluding LULUCF
2003-09-01,131.3
2003-12-01,129.0
2004-03-01,128.9
2004-06-01,129.7
2004-09-01,133.8
2004-12-01,130.9
2005-03-01,127.8
2005-06-01,131.1
2005-09-01,133.9
2005-12-01,132.3
2006-03-01,130.3
2006-06-01,133.5
2006-09-01,136.1
2006-12-01,135.5
2007-03-01,132.9
2007-06-01,133.5
2007-09-01,139.8
2007-12-01,135.5
2008-03-01,134.3
2008-06-01,135.6
2008-09-01,140.7
2008-12-01,137.1
2009-03-01,130.5
2009-06-01,133.0
2009-09-01,135.5
2009-12-01,135.7
2010-03-01,134.7
2010-06-01,134.6
2010-09-01,138.4
2010-12-01,134.4
2011-03-01,133.0
2011-06-01,135.6
2011-09-01,139.5
2011-12-01,136.4
2012-03-01,134.3
2012-06-01,135.2
2012-09-01,138.0
2012-12-01,137.2
2013-03-01,134.1
2013-06-01,135.4
2013-09-01,135.4
