Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,126.9,18.0,144.9
,2001-12-01,123.4,18.0,141.4
,2002-03-01,121.20000000000002,17.6,138.8
,2002-06-01,125.00000000000001,17.8,142.8
2002-03,2002-09-01,127.9,18.4,146.3
,2002-12-01,125.29999999999998,18.4,143.7
,2003-03-01,121.6,18.0,139.6
,2003-06-01,124.3,18.2,142.5
2003-04,2003-09-01,130.6,15.3,145.9
,2003-12-01,128.29999999999998,15.3,143.6
,2004-03-01,128.3,15.1,143.4
,2004-06-01,129.1,15.1,144.2
2004-05,2004-09-01,133.70000000000002,20.7,154.4
,2004-12-01,130.70000000000002,20.7,151.4
,2005-03-01,127.50000000000001,20.3,147.8
,2005-06-01,130.6,20.5,151.1
2005-06,2005-09-01,133.3,22.2,155.5
,2005-12-01,131.5,22.2,153.7
,2006-03-01,129.4,21.7,151.1
,2006-06-01,132.7,21.9,154.6
2006-07,2006-09-01,135.20000000000002,20.7,155.9
,2006-12-01,134.60000000000002,20.7,155.3
,2007-03-01,132.10000000000002,20.2,152.3
,2007-06-01,132.7,20.5,153.2
2007-08,2007-09-01,138.20000000000002,12.6,150.8
,2007-12-01,133.5,12.6,146.1
,2008-03-01,132.5,12.5,145.0
,2008-06-01,133.7,12.5,146.2
2008-09,2008-09-01,141.0,9.1,150.1
,2008-12-01,137.20000000000002,9.1,146.3
,2009-03-01,130.6,8.9,139.5
,2009-06-01,133.3,9.0,142.3
2009-10,2009-09-01,135.60000000000002,5.7,141.3
,2009-12-01,135.8,5.7,141.5
,2010-03-01,134.0,5.6,139.6
,2010-06-01,133.8,5.7,139.5
2010-11,2010-09-01,138.5,2.5,141.0
,2010-12-01,134.4,2.5,136.9
,2011-03-01,132.4,2.4,134.8
,2011-06-01,135.1,2.5,137.6
2011-12,2011-09-01,139.3,-4.8,134.5
,2011-12-01,136.20000000000002,-4.8,131.4
,2012-03-01,133.7,-4.7,129.0
,2012-06-01,134.39999999999998,-4.7,129.7
2012-13,2012-09-01,135.10000000000002,-4.8,130.3
,2012-12-01,134.10000000000002,-4.8,129.3
,2013-03-01,131.1,-4.7,126.4
,2013-06-01,133.0,-4.8,128.2
2013-14,2013-09-01,132.7,-1.6,131.1
,2013-12-01,132.0,-1.6,130.4
,2014-03-01,131.5,-1.6,129.9
,2014-06-01,131.1,-1.6,129.5
2014-15,2014-09-01,136.79999999999998,-5.1,131.7
,2014-12-01,134.29999999999998,-5.1,129.2
,2015-03-01,132.3,-5.0,127.3
,2015-06-01,134.1,-5.1,129.0
2015-16,2015-09-01,139.29999999999998,-6.1,133.2
,2015-12-01,137.7,-6.1,131.6
,2016-03-01,136.8,-6.0,130.8
,2016-06-01,135.4,-6.0,129.4
2016-17,2016-09-01,139.20000000000002,-5.4,133.8
,2016-12-01,136.9,-5.4,131.5
,2017-03-01,138.0,-5.3,132.7
,2017-06-01,138.20000000000002,-5.4,132.8
2017-18,2017-09-01,140.5,-6.0,134.5
,2017-12-01,139.7,-6.0,133.7
