Year,Quarter,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,126.80486462857088,16.5651051993881,143.36996982795898
,2001-12-01,123.36148347104354,16.5651051993881,139.92658867043164
,2002-03-01,121.19775973014822,16.204994216792702,137.40275394694092
,2002-06-01,124.95686809683477,16.385049708090403,141.34191780492517
2002-03,2002-09-01,127.63141737790403,18.746554643060357,146.3779720209644
,2002-12-01,125.09806381679834,18.746554643060357,143.8446184598587
,2003-03-01,121.34484174721949,18.339020846472085,139.68386259369157
,2003-06-01,124.0595494313793,18.54278774476622,142.6023371761455
2003-04,2003-09-01,130.50435909030574,16.59788839926376,147.1022474895695
,2003-12-01,128.22065081615972,16.59788839926376,144.81853921542347
,2004-03-01,128.2379955166745,16.417476568836978,144.65547208551146
,2004-06-01,128.9829214713396,16.417476568836978,145.40039804017658
2004-05,2004-09-01,133.5156688322282,22.37906553332636,155.89473436555454
,2004-12-01,130.48164919161368,22.37906553332636,152.86071472494004
,2005-03-01,127.37656923650984,21.892564108688827,149.26913334519867
,2005-06-01,130.44745801699258,22.135814821007592,152.58327283800017
2005-06,2005-09-01,133.14665451588013,21.437428057784008,154.58408257366415
,2005-12-01,131.3970172874381,21.437428057784008,152.83444534522212
,2006-03-01,129.30772194486235,20.971397013049568,150.27911895791192
,2006-06-01,132.60238658841044,21.20441253541679,153.80679912382723
2006-07,2006-09-01,134.85931278490258,23.665301269910863,158.52461405481344
,2006-12-01,134.22672206186658,23.665301269910863,157.89202333177744
,2007-03-01,131.66351396407453,23.15083819882584,154.81435216290038
,2007-06-01,132.39966572155356,23.408069734368357,155.80773545592191
2007-08,2007-09-01,137.980743005992,19.77001186694217,157.75075487293418
,2007-12-01,133.25391708761185,19.77001186694217,153.02392895455404
,2008-03-01,132.31721972326028,19.55512043360584,151.87234015686613
,2008-06-01,133.50827353395513,19.55512043360584,153.06339396756098
2008-09,2008-09-01,140.47998270582391,17.569934378925346,158.04991708474927
,2008-12-01,136.68377850331288,17.569934378925346,154.25371288223823
,2009-03-01,130.1363396032249,17.187979283731316,147.32431888695623
,2009-06-01,132.79040549529824,17.37895683132833,150.16936232662658
2009-10,2009-09-01,134.83329400191343,12.270072508163317,147.10336651007674
,2009-12-01,135.03258270927236,12.270072508163317,147.30265521743567
,2010-03-01,133.33608612964056,12.00333180146411,145.33941793110466
,2010-06-01,133.20460983018336,12.136702154813714,145.34131198499708
2010-11,2010-09-01,137.92258047608792,7.405214186057214,145.32779466214512
,2010-12-01,133.85949882727812,7.405214186057214,141.26471301333532
,2011-03-01,131.89172555896212,7.244231268969012,139.13595682793112
,2011-06-01,134.6067816718299,7.324722727513112,141.93150439934303
2011-12,2011-09-01,137.77453882799162,4.552276181870579,142.3268150098622
,2011-12-01,134.6299712947679,4.552276181870579,139.18224747663848
,2012-03-01,133.58989106197583,4.5027949190241605,138.092685981
,2012-06-01,134.23550846639645,4.5027949190241605,138.7383033854206
2012-13,2012-09-01,134.57388683534535,1.8409651295213156,136.41485196486667
,2012-12-01,133.5145334476841,1.8409651295213156,135.35549857720542
,2013-03-01,130.23624711589483,1.800944148444765,132.03719126433958
,2013-06-01,132.0142049721967,1.82095463898304,133.83515961117973
2013-14,2013-09-01,132.32622830094917,2.041456942663308,134.36768524361247
,2013-12-01,131.52975747624484,2.041456942663308,133.57121441890814
,2014-03-01,131.2706697233064,1.9970774439097576,133.26774716721616
,2014-06-01,130.69017156106696,2.019267193286533,132.7094387543535
2014-15,2014-09-01,135.97089529911278,-0.8917289103027146,135.07916638881008
,2014-12-01,133.45656712063027,-0.8917289103027146,132.56483821032757
,2015-03-01,131.40737358359468,-0.8723434992091772,130.5350300843855
,2015-06-01,133.23388843118454,-0.8820362047559459,132.3518522264286
2015-16,2015-09-01,137.61011868962754,-4.107631928085016,133.5024867615425
,2015-12-01,136.05865212515053,-4.107631928085016,131.9510201970655
,2016-03-01,136.03307287538993,-4.062983754953658,131.97008912043628
,2016-06-01,134.5853352762741,-4.062983754953658,130.52235152132045
2016-17,2016-09-01,139.83506324796622,-4.897705177074212,134.937358070892
,2016-12-01,137.33582959821013,-4.897705177074212,132.4381244211359
,2017-03-01,137.093262791392,-4.791233325398686,132.30202946599331
,2017-06-01,137.8077325519875,-4.84446925123645,132.96326330075104
2017-18,2017-09-01,138.66122329682236,-4.956345692181012,133.70487760464135
,2017-12-01,137.59952858826838,-4.956345692181012,132.64318289608738
,2018-03-01,136.93716562622225,-4.848599046698816,132.08856657952344
,2018-06-01,138.9392868652142,-4.902472369439914,134.03681449577428
2018-19,2018-09-01,138.23940367237728,-4.854890437077642,133.38451323529964
,2018-12-01,137.77418341522332,-4.854890437077642,132.91929297814568
,2019-03-01,136.43581532498825,-4.749349340619431,131.68646598436882
,2019-06-01,137.6581365837076,-4.802119888848536,132.85601669485908
2019-20,2019-09-01,137.27303914966666,-3.9487086368509647,133.3243305128157
