Year,Quarter,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF,Total excluding LULUCF
2001-02,2001-09-01,18.671502584098235,149.53072184240278,130.85921925830456
,2001-12-01,18.671502584098235,146.071994081264,127.40049149716576
,2002-03-01,18.26560035400914,143.3768589815664,125.11125862755725
,2002-06-01,18.468551469053686,147.41287455664187,128.94432308758817
2002-03,2002-09-01,21.871410237270837,152.89800677837667,131.02659654110585
,2002-12-01,21.871410237270837,150.38116332346604,128.5097530861952
,2003-03-01,21.39594479733016,146.00311346871638,124.60716867138622
,2003-06-01,21.633677517300494,149.1871137266781,127.5534362093776
2003-04,2003-09-01,15.858961796460234,149.61640799689562,133.7574462004354
,2003-12-01,15.858961796460234,147.330369016205,131.47140721974478
,2004-03-01,15.68658177693349,147.13123496402142,131.44465318708794
,2004-06-01,15.68658177693349,147.93483614791063,132.24825437097715
2004-05,2004-09-01,21.537353932002457,158.46247387627832,136.92511994427588
,2004-12-01,21.537353932002457,155.49197826842604,133.9546243364236
,2005-03-01,21.069150585654576,151.8939966911126,130.82484610545802
,2005-06-01,21.30325225882852,155.28146080556525,133.97820854673674
2005-06,2005-09-01,23.83590303174901,160.3588394213588,136.52293638960978
,2005-12-01,23.83590303174901,158.70132086141015,134.86541782966114
,2006-03-01,23.317731226710983,156.0171989075222,132.6994676808112
,2006-06-01,23.57681712923,159.59755273390363,136.02073560467363
2006-07,2006-09-01,25.079660679633665,163.46538372954524,138.38572304991158
,2006-12-01,25.079660679633665,162.72369808597793,137.64403740634427
,2007-03-01,24.53445066485902,159.51768422864134,134.98323356378233
,2007-06-01,24.807055672246342,160.6098915445333,135.80283587228695
2007-08,2007-09-01,21.524400680816655,162.6117762908905,141.08737561007385
,2007-12-01,21.524400680816655,157.76319480510483,136.23879412428818
,2008-03-01,21.29043980385126,156.63308586286365,135.3426460590124
,2008-06-01,21.29043980385126,157.85274199237554,136.56230218852428
2008-09,2008-09-01,21.369269392882018,164.70484702859525,143.33557763571324
,2008-12-01,21.369269392882018,161.0705949886428,139.70132559576078
,2009-03-01,20.904720058254146,154.00084030498027,133.09612024672612
,2009-06-01,21.136994725568083,156.90108005463262,135.76408532906453
2009-10,2009-09-01,17.145226634819753,154.96173377265163,137.81650713783188
,2009-12-01,17.145226634819753,155.07577185331814,137.9305452184984
,2010-03-01,16.772504316671494,152.84888398747032,136.07637967079881
,2010-06-01,16.958865475745625,152.07632349717875,135.11745802143312
2010-11,2010-09-01,11.36084754659952,153.13356634431707,141.77271879771754
,2010-12-01,11.36084754659952,147.10401706714697,135.74316952054744
,2011-03-01,11.113872599934313,144.89083532186513,133.7769627219308
,2011-06-01,11.23736007326692,148.68410419706373,137.4467441237968
2011-12,2011-09-01,6.539670189116864,148.26811425125192,141.72844406213505
,2011-12-01,6.539670189116864,143.10857203149038,136.56890184237352
,2012-03-01,6.468586817496027,142.04271677787372,135.5741299603777
,2012-06-01,6.468586817496027,144.60729613087398,138.13870931337794
2012-13,2012-09-01,4.841788196590775,142.95133133025482,138.10954313366403
,2012-12-01,4.841788196590775,141.11456919501808,136.2727809984273
,2013-03-01,4.736531931447496,137.82621135226364,133.08967942081614
,2013-06-01,4.789160064019136,139.80545867343065,135.0162986094115
2013-14,2013-09-01,6.065499398808035,141.31169664841278,135.24619724960473
,2013-12-01,6.065499398808035,139.27727338683465,133.2117739880266
,2014-03-01,5.93364071622525,139.60166054784972,133.66801983162446
,2014-06-01,5.999570057516642,140.35432613084632,134.35475607332967
2014-15,2014-09-01,1.1874787702959164,140.80012860968313,139.61264983938722
,2014-12-01,1.1874787702959164,136.059594390744,134.87211562044808
,2015-03-01,1.161664014419918,134.56939792937746,133.40773391495753
,2015-06-01,1.174571392357917,138.06783247235273,136.89326107999483
2015-16,2015-09-01,-7.150544577546659,131.93266714686882,139.0832117244155
,2015-12-01,-7.150544577546659,129.81984683908837,136.97039141663504
,2016-03-01,-7.072821266921151,132.46878524012868,139.54160650704983
,2016-06-01,-7.072821266921151,131.00661263208366,138.0794338990048
2016-17,2016-09-01,-9.18777126752247,134.53713749188094,143.7249087594034
,2016-12-01,-9.18777126752247,128.99827753893217,138.18604880645464
,2017-03-01,-8.98803710953285,129.0380535346736,138.02609064420645
,2017-06-01,-9.08790418852766,131.58363096186295,140.6715351503906
2017-18,2017-09-01,-8.176848727299056,135.22622454534658,143.40307327264563
,2017-12-01,-8.176848727299056,131.3006508979185,139.47749962521755
,2018-03-01,-7.999091146270817,130.0845813638541,138.08367251012493
,2018-06-01,-8.087969936784937,133.1717493062549,141.25971924303983
2018-19,2018-09-01,-9.83870102064038,132.38994694811646,142.22864796875683
,2018-12-01,-9.83870102064038,127.47543078548937,137.31413180612975
,2019-03-01,-9.624816215843849,125.81495151983547,135.4397677356793
,2019-06-01,-9.731758618242113,130.68559228584596,140.41735090408807
2019-20,2019-09-01,-9.80812289598304,128.2970086883477,138.10513158433073
,2019-12-01,-9.80812289598304,125.46378684647335,135.2719097424564
,2020-03-01,-9.701512864504965,124.61400714860928,134.31552001311425
,2020-06-01,-9.701512864504965,118.94581069115353,128.6473235556585
2020-21,2020-09-01,-9.942213132286431,121.31270948922344,131.25492262150988
,2020-12-01,-9.942213132286431,119.02790923582168,128.97012236810812
,2021-03-01,-9.726078064193247,120.02386990094053,129.74994796513377
,2021-06-01,-9.83414559823984,124.25869388276855,134.09283948100838
2021-22,2021-09-01,-9.946392405175915,123.20149172838391,133.14788413355984
,2021-12-01,-9.946392405175915,120.4692228228368,130.4156152280127
