Quarter,Total (excluding LULUCF)
2001-06-01,128
2001-09-01,130
2001-12-01,126
2002-03-01,125
2002-06-01,128
2002-09-01,132
2002-12-01,130
2003-03-01,127
2003-06-01,129
2003-09-01,133
2003-12-01,131
2004-03-01,131
2004-06-01,131
2004-09-01,135
2004-12-01,132
2005-03-01,129
2005-06-01,132
2005-09-01,134
2005-12-01,133
2006-03-01,131
2006-06-01,134
2006-09-01,137
2006-12-01,137
2007-03-01,134
2007-06-01,134
2007-09-01,141
2007-12-01,137
2008-03-01,135
2008-06-01,137
2008-09-01,142
2008-12-01,139
2009-03-01,132
2009-06-01,134
2009-09-01,137
2009-12-01,138
2010-03-01,136
2010-06-01,137
2010-09-01,140
2010-12-01,135
2011-03-01,134
2011-06-01,137
