Year,Quarter,Electricity,Stationary energy excluding electricity,Transport,Fugitive Emissions,Industrial Processes,Agriculture,Waste,Total excluding LULUCF,Deforestation,Afforestation and reforestation,Total including LULUCF
2001-02,2001-09-01,47.5,19.1,18.9,10.3,7.2,23.4,4.3,130.8,21.4,-3.3,149.0
,2001-12-01,44.2,19.2,19.5,9.7,7.1,23.4,4.3,127.5,21.4,-3.3,145.7
,2002-03-01,45.4,18.5,18.4,9.0,6.9,22.9,4.2,125.3,21.1,-2.7,143.7
,2002-06-01,46.8,19.1,18.6,9.9,7.3,23.1,4.3,129.2,21.4,-2.7,147.8
2002-03,2002-09-01,48.5,19.2,19.3,10.0,7.8,22.5,4.1,131.5,21.6,-2.8,150.3
,2002-12-01,46.1,19.2,20.0,9.2,7.9,22.5,4.1,129.0,21.6,-2.8,147.8
,2003-03-01,45.3,18.4,18.8,8.6,7.8,22.0,4.0,125.0,16.1,-3.4,137.7
,2003-06-01,46.3,18.8,19.1,9.5,7.7,22.2,4.1,127.7,16.3,-3.4,140.7
2003-04,2003-09-01,48.9,19.6,20.1,10.0,8.4,22.5,4.0,133.5,16.4,-3.4,146.5
,2003-12-01,46.8,19.4,20.8,9.2,8.4,22.5,4.0,131.1,16.4,-3.4,144.1
,2004-03-01,49.9,18.5,19.6,8.6,8.0,22.2,4.0,130.9,19.1,-3.5,146.6
,2004-06-01,49.0,19.1,19.8,9.7,7.9,22.2,4.0,131.8,19.1,-3.5,147.4
2004-05,2004-09-01,50.8,20.0,20.6,10.3,8.0,22.2,4.0,136.0,19.4,-3.5,151.9
,2004-12-01,48.1,20.0,20.9,9.8,7.9,22.2,4.0,133.0,19.4,-3.5,148.9
,2005-03-01,48.7,19.1,19.5,9.0,7.9,21.8,3.9,130.0,23.1,-3.8,149.3
,2005-06-01,48.8,19.8,20.4,10.2,8.1,22.0,4.0,133.2,23.4,-3.8,152.7
2005-06,2005-09-01,50.8,19.8,20.2,10.5,8.2,22.6,3.9,136.0,23.6,-3.9,155.7
,2005-12-01,48.9,19.7,21.5,9.9,8.1,22.6,3.9,134.5,23.6,-3.9,154.2
,2006-03-01,50.5,18.7,20.2,9.2,7.8,22.1,3.8,132.4,22.2,-3.3,151.3
,2006-06-01,50.8,19.9,20.2,10.5,8.1,22.3,3.9,135.7,22.5,-3.4,154.8
2006-07,2006-09-01,52.1,20.0,21.0,11.1,8.5,21.8,4.0,138.4,22.7,-3.4,157.7
,2006-12-01,50.7,20.4,21.7,10.5,8.7,21.8,4.0,137.8,22.7,-3.4,157.1
,2007-03-01,51.5,19.2,20.9,9.8,8.4,21.3,3.9,135.1,19.5,-4.2,150.4
,2007-06-01,49.4,20.0,21.2,11.2,8.6,21.5,4.0,135.8,19.7,-4.3,151.3
2007-08,2007-09-01,53.4,20.4,21.6,11.9,8.7,21.5,4.1,141.7,19.9,-4.3,157.3
,2007-12-01,50.2,20.4,22.1,10.1,8.6,21.5,4.1,137.1,19.9,-4.3,152.7
,2008-03-01,51.6,19.5,21.2,10.0,8.4,21.3,4.1,136.1,14.1,-4.6,145.6
,2008-06-01,50.4,20.6,21.6,10.8,8.6,21.3,4.1,137.4,14.1,-4.6,146.9
