Year,Quarter,Electricity,Stationary Energy (excluding electricity),Transport,Fugitive Emissions,Industrial Processes and Product Use,Agriculture,Waste,Total excluding LULUCF,"Land Use, Land Use Change and Forestry (LULUCF)",Total including LULUCF
2001-02,2001-09-01,47.5,19.3,18.9,9.8,7.3,22.6,4.3,129.7,15.8,145.4
,2001-12-01,44.3,19.4,19.6,9.2,7.1,22.6,4.3,126.4,15.8,142.1
,2002-03-01,45.4,18.6,18.5,8.6,7.0,22.1,4.2,124.2,18.4,142.6
,2002-06-01,46.8,19.2,18.7,9.5,7.3,22.3,4.2,128.0,18.6,146.6
2002-03,2002-09-01,48.6,19.8,19.4,9.4,7.8,21.0,4.0,130.0,18.8,148.8
,2002-12-01,46.2,19.8,20.0,8.6,7.9,21.0,4.0,127.5,18.8,146.3
,2003-03-01,45.4,18.9,18.9,8.1,7.8,20.6,3.9,123.6,12.2,135.8
,2003-06-01,46.4,19.3,19.1,9.0,7.7,20.8,3.9,126.3,12.4,138.7
2003-04,2003-09-01,48.9,20.2,20.1,9.4,8.3,21.7,3.9,132.5,12.5,144.9
,2003-12-01,46.8,20.0,20.8,8.6,8.4,21.7,3.9,130.1,12.5,142.6
,2004-03-01,49.9,19.1,19.6,8.1,8.1,21.5,3.8,130.2,13.4,143.6
,2004-06-01,49.0,19.7,19.8,9.1,8.0,21.5,3.8,130.9,13.4,144.4
2004-05,2004-09-01,50.9,20.5,20.7,9.6,8.0,22.1,3.9,135.8,13.6,149.4
,2004-12-01,48.2,20.6,21.0,9.1,8.0,22.1,3.9,132.8,13.6,146.4
,2005-03-01,48.8,19.6,19.6,8.4,7.9,21.6,3.8,129.8,19.8,149.5
,2005-06-01,48.9,20.3,20.4,9.5,8.1,21.9,3.8,133.0,20.0,152.9
2005-06,2005-09-01,50.9,20.4,20.3,9.8,8.3,21.7,3.8,135.2,20.2,155.4
,2005-12-01,48.9,20.3,21.5,9.2,8.1,21.7,3.8,133.5,20.2,153.7
